Country,Year,Population,Food supply kcal per capita per day,FoodSupplyperyear
Antigua and Barbuda,Y2004,80347,2150.348,63062513925.940002
Antigua and Barbuda,Y2005,81462,2375.0093000000002,70617647772.759003
Antigua and Barbuda,Y2006,82715,2336.0212000000001,70526757648.669998
Antigua and Barbuda,Y2007,84029,2410.1680000000001,73921262508.279999
Antigua and Barbuda,Y2008,85394,2369.0187999999998,73839496863.628006
Antigua and Barbuda,Y2009,86743,2302.1107999999999,72887578950.406006
Antigua and Barbuda,Y2010,88030,2310.2123999999999,74229319113.779999
Antigua and Barbuda,Y2011,89250,2379.3164000000002,77509205875.5
Antigua and Barbuda,Y2012,90407,2406.1190000000001,79398450158.044998
Antigua and Barbuda,Y2013,91510,2420.8937999999998,80860636947.869995
